Mon Jun  9 00:35:31 2025    hub_simulation.prof

         184273617 function calls (184264004 primitive calls) in 199.974 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/simpy/core.py:79(callback)
     12/8    0.000    0.000    0.000    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/networkx/utils/decorators.py:1169(_flatten)
        6    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
       12    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        6    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        8    0.000    0.000    0.000    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/networkx/utils/decorators.py:830(_count)
       11    0.000    0.000    0.000    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/networkx/utils/backends.py:931(<genexpr>)
        6    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        2    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/simpy/events.py:145(value)
        1    0.000    0.000    0.000    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/simpy/events.py:113(ok)
        4    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/simpy/events.py:86(__init__)
        2    0.000    0.000    0.000    0.000 /home/chachi/miniforge3/envs/simulation/lib/python3.13/site-packages/networkx/utils/decorators.py:1057(<genexpr>)
        2    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <class 'networkx.utils.decorators.argmap'> compilation 30:1(<module>)
        1    0.000    0.000    0.000    0.000 <class 'networkx.utils.decorators.argmap'> compilation 34:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:2(_parse_args)


